date;price;B Těžba a dobývání;C Zpracovatelský průmysl;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;E Zásobování vodou, činnosti související s odpadními vodami, odpady a sanacemi;F Stavebnictví;G Velkoobchod a maloobchod, opravy a údržba motorových vozidel;H Doprava a skladování;I Ubytování, stravování a pohostinství;J Informační a komunikační činnosti;K Peněžnictví a pojišťovnictví;L Činnosti v oblasti nemovitostí;M Profesní, vědecké a technické činnosti;N Administrativní a podpůrné činnosti;O Veřejná správa a obrana povinné sociální zabezpečení;P Vzdělávání;Q Zdravotní a sociální péče;R Kulturní, zábavní a rekreační činnosti;S Ostatní činnosti;T Činnosti domácností jako zaměstnavatelů a producentů pro vlastní potřebu
1993;253875;93759;1280078;51468;38199;408625;549108;301917;130353;64456;55105;34943;171603;107094;341127;276221;278617;48753;47606;1632
1994;248905;92123;1274569;52216;39110;415014;555433;298776;130261;64524;60404;37847;170614;106059;337039;277789;273112;50246;44897;1936
1995;233373;89497;1265821;51075;40947;420461;543159;309144;128227;70484;61711;42204;171459;102982;342618;271447;265674;47337;43840;2290
1996;231345;87088;1323919;53862;48765;401311;521046;300209;121614;79798;70989;43980;159084;99179;365341;259787;251136;50480;48260;2723
1997;214034;75116;1344470;47568;52712;371473;542347;297991;115509;86124;77705;52345;144895;98304;372047;248372;238754;49675;46931;2961
1998;215476;67825;1318280;43898;53181;344869;496811;287849;110907;82394;77207;50373;148610;102619;351182;256585;227476;48397;49044;3209
1999;190547;61284;1245796;42825;53647;320989;482428;296965;115202;80367;76815;55575;149683;105169;355049;249150;228747;48009;42730;3483
2000;184542;56779;1226744;37930;50198;295234;489404;290888;119493;83240;79178;55274;154062;99890;340778;264385;233409;49232;40519;3733
2001;184491;54626;1226372;41052;49593;283112;497805;280326;131617;81396;79453;48234;142710;105165;338564;261031;238268;50346;43029;4131
2002;152605;50602;1217913;42429;51054;288094;499448;287876;128384;83823;72657;49590;148277;105159;339322;259613;246645;52218;43054;4441
2003;147224;46310;1170637;39104;49342;277182;499013;265336;135326;80743;69845;47770;150614;105664;314669;276747;255092;55279;44402;4733
2004;151091;45203;1186094;37511;53221;283807;479825;280479;133275;83031;68689;48357;151780;111716;308675;281840;246005;52023;45279;4979
2005;146118;44303;1230034;38193;51357;296733;516819;280706;136097;89355;67682;55409;161436;111593;310672;286477;256039;53264;42777;5237
2006;141173;44898;1239753;34386;50130;297854;535729;277631;141858;94870;69890;60925;165411;111750;314928;288140;261027;54167;44408;5160
2007;131910;42127;1282523;32703;53221;296542;553524;286288;148526;101392;71442;59410;178767;117299;315941;289304;261728;54495;46922;5740
2008;134009;44570;1288856;33309;54749;308612;578598;297487;150985;111076;72549;69102;187993;125590;315621;285692;273075;56167;50445;6507
2009;128549;38586;1177988;33027;54965;322507;576223;289323;160453;116217;73126;69148;189739;126165;309204;279068;277406;56870;50716;6838
2010;113224;36300;1129151;31520;54272;317423;583181;281234;155925;112046;73695;67644;191446;124996;316753;272474;276904;55462;51244;6508
2011;114265;35297;1173220;31149;54697;292489;567070;278945;155937;108743;74252;59334;181737;126297;294673;282126;284948;55663;51819;7493
2012;115690;34934;1183851;31448;55308;288942;578027;275061;156331;109759;78048;64540;188176;127170;279552;282867;289314;56367;52457;7500
2013;118314;33590;1184193;31097;56070;283165;590757;277219;155019;111803;77168;68641;191651;133233;282874;289460;292494;57878;53380;7852
2014;117457;35466;1199950;31417;56306;273168;600225;278677;147634;115141;78249;66781;198682;134532;286233;291535;301536;58405;54245;8233
2015;115409;34016;1246362;31882;56595;272692;605110;290592;154640;117689;76986;65784;204869;137714;291671;291733;303921;59570;52369;8768
2016;113150;31693;1284479;32072;57463;265655;604658;296125;159218;124991;78942;65809;213858;137927;301351;295885;313411;61293;52395;9109
2017;113825;29323;1305694;34183;58398;262662;613228;302900;160374;128813;76408;66671;222114;138002;306834;309209;326181;62819;53545;9974
